"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"74","Olfr203","minusD","3.16-0",1.85168666666667,0.929401391789466,2.77397194154387,0.000238376862279344
"75","Olfr203","minusD","10-0",3.40176033333333,2.47947505845613,4.32404560821053,5.63846556111969e-08
"76","Olfr203","minusD","31.6-0",4.72221633333333,3.79993105845613,5.64450160821053,1.41442413337245e-12
"77","Olfr203","minusD","100-0",3.94757333333333,3.02528805845613,4.86985860821053,2.49976506161431e-09
"78","Olfr203","minusD","316-0",3.32208366666667,2.39979839178947,4.24436894154387,1.37355782525717e-07
"79","Olfr203","pCI_minusD","1-0",-0.0137923333333333,-0.0747746674967929,0.0471900008301262,0.962621489914801
"80","Olfr203","pCI_minusD","3.16-0",0.0141383333333333,-0.0468440008301262,0.0751206674967929,0.958353922392601
"81","Olfr203","pCI_minusD","10-0",-0.00814433333333334,-0.0691266674967929,0.0528380008301262,0.997188976827892
"82","Olfr203","pCI_minusD","31.6-0",-0.033442,-0.0944243341634596,0.0275403341634596,0.43710883694062
"83","Olfr203","pCI_minusD","100-0",-0.0790526666666667,-0.140035000830126,-0.0180703325032071,0.00983258776541007
"84","Olfr203","pCI_minusD","316-0",-0.0963703333333333,-0.157352667496793,-0.0353879991698738,0.00195015050747405
"85","Olfr203","pCI_plusH","1-0",0.014595,-0.0627309907446572,0.0919209907446572,0.983712859291852
"86","Olfr203","pCI_plusH","3.16-0",-0.0224403333333333,-0.0997663240779905,0.0548856574113239,0.897317019028957
"87","Olfr203","pCI_plusH","10-0",0.0182316666666667,-0.0590943240779905,0.0955576574113239,0.955243826411618
"88","Olfr203","pCI_plusH","31.6-0",-0.00190166666666666,-0.0792276574113239,0.0754243240779905,0.999999846125314
"89","Olfr203","pCI_plusH","100-0",-0.049948,-0.127273990744657,0.0273779907446572,0.291832025430428
"90","Olfr203","pCI_plusH","316-0",-0.07129,-0.148615990744657,0.00603599074465722,0.0756044116925718
"91","Olfr203","plusH","1-0",-0.124203,-0.679572411371377,0.431166411371377,0.964425196913549
"92","Olfr203","plusH","3.16-0",-0.0878159999999999,-0.643185411371377,0.467553411371378,0.993213767504458
"93","Olfr203","plusH","10-0",0.360988666666667,-0.194380744704711,0.916358078038044,0.28656074026547
"94","Olfr203","plusH","31.6-0",0.905148333333333,0.349778921961956,1.46051774470471,0.0016342812794593
"95","Olfr203","plusH","100-0",1.623952,1.06858258862862,2.17932141137138,2.54140941358116e-06
"96","Olfr203","plusH","316-0",2.60072633333333,2.04535692196196,3.15609574470471,1.20700816008679e-09
"97","Olfr47","minusD","1-0",0.569368333333333,-0.974677251021306,2.11341391768797,0.772425272628714
"98","Olfr47","minusD","3.16-0",1.466155,-0.0778905843546396,3.01020058435464,0.0651963382941985
"99","Olfr47","minusD","10-0",2.64871466666667,1.10466908231203,4.19276025102131,0.00105940578812702
"100","Olfr47","minusD","31.6-0",3.99762066666667,2.45357508231203,5.54166625102131,1.56904133530311e-05
"101","Olfr47","minusD","100-0",4.395181,2.85113541564536,5.93922658435464,3.68888921320476e-06
"102","Olfr47","minusD","316-0",3.956711,2.41266541564536,5.50075658435464,9.97303609118205e-06
"103","Olfr47","pCI_minusD","1-0",-0.0137923333333333,-0.0747746674967929,0.0471900008301262,0.962621489914801
"104","Olfr47","pCI_minusD","3.16-0",0.0141383333333333,-0.0468440008301262,0.0751206674967929,0.958353922392601
"105","Olfr47","pCI_minusD","10-0",-0.00814433333333334,-0.0691266674967929,0.0528380008301262,0.997188976827892
"106","Olfr47","pCI_minusD","31.6-0",-0.033442,-0.0944243341634596,0.0275403341634596,0.43710883694062
"107","Olfr47","pCI_minusD","100-0",-0.0790526666666667,-0.140035000830126,-0.0180703325032071,0.00983258776541007
