"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"252","Olfr213","pCI_minusD","316-0",-0.253392666666667,-0.529162202692719,0.0223768693593854,0.0768377774033503
"253","Olfr213","pCI_plusH","1-0",-0.126602333333333,-0.393285603396582,0.140080936729915,0.570370501032682
"254","Olfr213","pCI_plusH","3.16-0",-0.0580169999999999,-0.324700270063248,0.208666270063249,0.968523711633256
"255","Olfr213","pCI_plusH","10-0",-0.0931333333333333,-0.359816603396582,0.173549936729915,0.806928306055413
"256","Olfr213","pCI_plusH","31.6-0",-0.192534,-0.459217270063249,0.0741492700632486,0.206148295518936
"257","Olfr213","pCI_plusH","100-0",0.00474466666666673,-0.261938603396582,0.271427936729915,0.999999977762768
"258","Olfr213","pCI_plusH","316-0",-0.133006333333333,-0.399689603396582,0.133676936729915,0.525291336354563
"259","Olfr213","plusH","1-0",-0.010009,-0.488845866083564,0.468827866083564,0.999999941912445
"260","Olfr213","plusH","3.16-0",0.132797,-0.346039866083564,0.611633866083564,0.913444245377505
"261","Olfr213","plusH","10-0",0.225029666666667,-0.253807199416898,0.703866532750231,0.579272388022659
"262","Olfr213","plusH","31.6-0",0.294334666666667,-0.184502199416897,0.773171532750231,0.333957125199908
"263","Olfr213","plusH","100-0",0.400542,-0.0782948660835642,0.879378866083564,0.117472152237208
"264","Olfr213","plusH","316-0",0.903629666666667,0.424792800583102,1.38246653275023,0.000341570914887734
"265","Olfr215","minusD","1-0",0.0597806666666666,-0.209219851840388,0.328781185173722,0.965404339836632
"266","Olfr215","minusD","3.16-0",-0.0382876666666667,-0.307288185173722,0.230712851840388,0.996063415797206
"267","Olfr215","minusD","10-0",0.0563553333333333,-0.212645185173722,0.325355851840388,0.97346563301063
"268","Olfr215","minusD","31.6-0",-0.056206,-0.325206518507055,0.212794518507055,0.973794212724907
"269","Olfr215","minusD","100-0",-0.0990346666666667,-0.368035185173722,0.169965851840388,0.773516295863985
"270","Olfr215","minusD","316-0",-0.137014666666667,-0.406015185173722,0.131985851840388,0.505856620282986
"271","Olfr215","pCI_minusD","1-0",0.0343843333333334,-0.241385202692719,0.310153869359385,0.99805920799019
"272","Olfr215","pCI_minusD","3.16-0",0.00497833333333331,-0.270791202692719,0.280747869359385,0.999999975792341
"273","Olfr215","pCI_minusD","10-0",-0.15705,-0.432819536026052,0.118719536026052,0.40233448260945
"274","Olfr215","pCI_minusD","31.6-0",-0.133766,-0.409535536026052,0.142003536026052,0.550642441913202
"275","Olfr215","pCI_minusD","100-0",-0.18849,-0.464259536026052,0.0872795360260521,0.246585649835616
"276","Olfr215","pCI_minusD","316-0",-0.253392666666667,-0.529162202692719,0.0223768693593854,0.0768377774033503
"277","Olfr215","pCI_plusH","1-0",-0.126602333333333,-0.393285603396582,0.140080936729915,0.570370501032682
"278","Olfr215","pCI_plusH","3.16-0",-0.0580169999999999,-0.324700270063248,0.208666270063249,0.968523711633256
"279","Olfr215","pCI_plusH","10-0",-0.0931333333333333,-0.359816603396582,0.173549936729915,0.806928306055413
"280","Olfr215","pCI_plusH","31.6-0",-0.192534,-0.459217270063249,0.0741492700632486,0.206148295518936
"281","Olfr215","pCI_plusH","100-0",0.00474466666666673,-0.261938603396582,0.271427936729915,0.999999977762768
"282","Olfr215","pCI_plusH","316-0",-0.133006333333333,-0.399689603396582,0.133676936729915,0.525291336354563
"283","Olfr215","plusH","1-0",0.201921333333333,-0.231003381462619,0.634846048129286,0.586228038412727
"284","Olfr215","plusH","3.16-0",0.117482666666667,-0.315442048129286,0.550407381462619,0.920417775572656
"285","Olfr215","plusH","10-0",0.012038,-0.420886714795952,0.444962714795952,0.999999679219629
"286","Olfr215","plusH","31.6-0",0.012747,-0.420177714795952,0.445671714795952,0.999999549260754
"287","Olfr215","plusH","100-0",-0.0496803333333333,-0.482605048129286,0.383244381462619,0.998762745851664
"288","Olfr215","plusH","316-0",0.0180923333333333,-0.414832381462619,0.451017048129286,0.999996377158985
"289","Olfr221","minusD","1-0",-0.0469393333333333,-0.329715794968357,0.235837128301691,0.991329031114051
"290","Olfr221","minusD","3.16-0",0.0630406666666667,-0.219735794968357,0.345817128301691,0.964908061787419
"291","Olfr221","minusD","10-0",0.00347766666666666,-0.279298794968357,0.286254128301691,0.999999997567501
"292","Olfr221","minusD","31.6-0",0.00270333333333334,-0.280073128301691,0.285479794968357,0.999999999463352
"293","Olfr221","minusD","100-0",-0.025391,-0.308167461635024,0.257385461635024,0.999686156227716
"294","Olfr221","minusD","316-0",0.163146666666667,-0.119629794968357,0.445923128301691,0.390703453474467
"295","Olfr221","pCI_minusD","1-0",0.0343843333333334,-0.241385202692719,0.310153869359385,0.99805920799019
"296","Olfr221","pCI_minusD","3.16-0",0.00497833333333331,-0.270791202692719,0.280747869359385,0.999999975792341
"297","Olfr221","pCI_minusD","10-0",-0.15705,-0.432819536026052,0.118719536026052,0.40233448260945
"298","Olfr221","pCI_minusD","31.6-0",-0.133766,-0.409535536026052,0.142003536026052,0.550642441913202
"299","Olfr221","pCI_minusD","100-0",-0.18849,-0.464259536026052,0.0872795360260521,0.246585649835616
"300","Olfr221","pCI_minusD","316-0",-0.253392666666667,-0.529162202692719,0.0223768693593854,0.0768377774033503
"301","Olfr221","pCI_plusH","1-0",-0.126602333333333,-0.393285603396582,0.140080936729915,0.570370501032682
"302","Olfr221","pCI_plusH","3.16-0",-0.0580169999999999,-0.324700270063248,0.208666270063249,0.968523711633256
"303","Olfr221","pCI_plusH","10-0",-0.0931333333333333,-0.359816603396582,0.173549936729915,0.806928306055413
"304","Olfr221","pCI_plusH","31.6-0",-0.192534,-0.459217270063249,0.0741492700632486,0.206148295518936
"305","Olfr221","pCI_plusH","100-0",0.00474466666666673,-0.261938603396582,0.271427936729915,0.999999977762768
"306","Olfr221","pCI_plusH","316-0",-0.133006333333333,-0.399689603396582,0.133676936729915,0.525291336354563
"307","Olfr221","plusH","1-0",-0.0835103333333333,-0.424144974180477,0.257124307513811,0.947204386707518
"308","Olfr221","plusH","3.16-0",-0.163438,-0.504072640847144,0.177196640847144,0.560617573734255
"309","Olfr221","plusH","10-0",-0.025198,-0.365832640847144,0.315436640847144,0.999896725543434
"310","Olfr221","plusH","31.6-0",-0.050047,-0.390681640847144,0.290587640847144,0.995355196822693
"311","Olfr221","plusH","100-0",-0.052076,-0.392710640847144,0.288558640847144,0.994288068141481
"312","Olfr221","plusH","316-0",0.306295,-0.0343396408471439,0.646929640847144,0.085155922970217
