"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"59","Olfr112","pCI_minusD","100-0",0.021485,-0.120710960621185,0.163680960621185,0.994623724558169
"60","Olfr112","pCI_minusD","316-0",0.0461883333333334,-0.0960076272878516,0.188384293954518,0.84718527896348
"61","Olfr112","pCI_plusH","1-0",-0.127751333333333,-0.280952942894338,0.025450276227671,0.11909531194491
"62","Olfr112","pCI_plusH","3.16-0",-0.115832333333333,-0.269033942894338,0.037369276227671,0.175299470137424
"63","Olfr112","pCI_plusH","10-0",-0.098416,-0.251617609561004,0.0547856095610043,0.296315459993782
"64","Olfr112","pCI_plusH","31.6-0",-0.090156,-0.243357609561004,0.0630456095610044,0.372570017968467
"65","Olfr112","pCI_plusH","100-0",-0.105075,-0.258276609561004,0.0481266095610043,0.243944059149316
"66","Olfr112","pCI_plusH","316-0",-0.032366,-0.185567609561004,0.120835609561004,0.9724027474732
"67","Olfr112","plusH","1-0",0.0187863333333333,-0.109031712127175,0.146604378793842,0.995348306632981
"68","Olfr112","plusH","3.16-0",0.00622299999999998,-0.121595045460508,0.134041045460508,0.999991069587409
"69","Olfr112","plusH","10-0",-0.0115356666666667,-0.139353712127175,0.116282378793842,0.999677172458802
"70","Olfr112","plusH","31.6-0",-0.00023200000000001,-0.128050045460508,0.127586045460508,0.999999999999975
"71","Olfr112","plusH","100-0",-0.064837,-0.192655045460508,0.0629810454605084,0.50951124200853
"72","Olfr112","plusH","316-0",-0.043906,-0.171724045460508,0.0839120454605084,0.816655021959054
"73","Olfr136","minusD","1-0",0.038192,-0.121766834770057,0.198150834770057,0.952772097269872
"74","Olfr136","minusD","3.16-0",0.016227,-0.143731834770057,0.176185834770057,0.99937631455627
"75","Olfr136","minusD","10-0",-0.0715466666666667,-0.231505501436723,0.08841216810339,0.622883922186135
"76","Olfr136","minusD","31.6-0",-0.02814,-0.188098834770057,0.131818834770057,0.988425906625429
"77","Olfr136","minusD","100-0",-0.0466393333333333,-0.20659816810339,0.113319501436723,0.895566306424426
"78","Olfr136","minusD","316-0",0.044901,-0.115057834770057,0.204859834770057,0.909314615756823
"79","Olfr136","pCI_minusD","1-0",0.00168966666666667,-0.140506293954518,0.143885627287852,0.999999998027561
"80","Olfr136","pCI_minusD","3.16-0",0.0296383333333333,-0.112557627287852,0.171834293954518,0.974068425438312
"81","Olfr136","pCI_minusD","10-0",-0.0588463333333333,-0.201042293954518,0.0833496272878517,0.687614206296763
"82","Olfr136","pCI_minusD","31.6-0",0.0606726666666667,-0.0815232939545183,0.202868627287852,0.662839874422611
"83","Olfr136","pCI_minusD","100-0",0.021485,-0.120710960621185,0.163680960621185,0.994623724558169
"84","Olfr136","pCI_minusD","316-0",0.0461883333333334,-0.0960076272878516,0.188384293954518,0.84718527896348
"85","Olfr136","pCI_plusH","1-0",-0.127751333333333,-0.280952942894338,0.025450276227671,0.11909531194491
"86","Olfr136","pCI_plusH","3.16-0",-0.115832333333333,-0.269033942894338,0.037369276227671,0.175299470137424
"87","Olfr136","pCI_plusH","10-0",-0.098416,-0.251617609561004,0.0547856095610043,0.296315459993782
"88","Olfr136","pCI_plusH","31.6-0",-0.090156,-0.243357609561004,0.0630456095610044,0.372570017968467
"89","Olfr136","pCI_plusH","100-0",-0.105075,-0.258276609561004,0.0481266095610043,0.243944059149316
"90","Olfr136","pCI_plusH","316-0",-0.032366,-0.185567609561004,0.120835609561004,0.9724027474732
"91","Olfr136","plusH","1-0",-0.0471763333333333,-0.171506314249942,0.0771536475832753,0.752845066692245
"92","Olfr136","plusH","3.16-0",0.0194796666666667,-0.104850314249942,0.143809647583275,0.993524457851571
"93","Olfr136","plusH","10-0",-0.0678613333333333,-0.192191314249942,0.0564686475832753,0.441465390979019
"94","Olfr136","plusH","31.6-0",-0.0310473333333333,-0.155377314249942,0.0932826475832753,0.943033377005525
"95","Olfr136","plusH","100-0",0.042508,-0.0818219809166086,0.166837980916609,0.819460837206297
"96","Olfr136","plusH","316-0",0.175951666666667,0.051621685750058,0.300281647583275,0.00499749536123195
"97","Olfr1451","minusD","1-0",0.0793336666666667,-0.0731183529699345,0.231785686303268,0.48603943663557
"98","Olfr1451","minusD","3.16-0",0.0380713333333333,-0.114380686303268,0.190523352969935,0.942990447532729
"99","Olfr1451","minusD","10-0",0.0167113333333333,-0.135740686303268,0.169163352969935,0.999039484256027
"100","Olfr1451","minusD","31.6-0",0.0315116666666667,-0.120940352969935,0.183963686303268,0.975059626018937
"101","Olfr1451","minusD","100-0",0.031195,-0.121257019636601,0.183647019636601,0.976181991069125
"102","Olfr1451","minusD","316-0",0.0210693333333333,-0.131382686303268,0.173521352969935,0.996625932858781
"103","Olfr1451","pCI_minusD","1-0",0.0412523333333333,-0.0612475101342002,0.143752176800867,0.709532026696914
"104","Olfr1451","pCI_minusD","3.16-0",0.0751873333333333,-0.0273125101342002,0.177687176800867,0.195332170368965
