,ytrue_Euc,ytrue_cor,ytrue_cos,ypred_Euc,ypred_cor,ypred_cos,ypred_Euc_shuffled,ypred_cor_shuffled,ypred_cos_shuffled
0,32.30887291778911,1.002091599076223,1.0761070335026097,37.85968,1.0348747,0.99402535,23.95213,1.0526069,0.90108854
0,23.05000621882337,0.9055021217050665,0.8287844525934829,35.93901,0.97634315,0.85271865,28.72761,1.0071129,0.97639483
0,36.18288989026597,1.0578496473401016,1.0150211269424994,35.65082,1.0671201,0.9356178,38.04572,1.0059351,1.057263
0,22.750822626113496,1.0067399854635233,0.9356252964545266,36.46561,0.9683545,1.1422795,25.628534,1.0787848,1.065899
0,26.160906926387426,0.9530368546270807,1.0290067017117526,38.72735,1.0606756,1.08317,21.563074,1.1036268,1.0236086
0,21.006901246751212,0.973539952539687,0.922959923099603,34.696896,1.0409255,0.87024224,28.11307,1.0124346,0.92215407
0,22.867510441945143,0.8804774609254934,0.849509596182657,33.58838,0.98181534,0.9886381,25.889412,0.9998773,1.0163487
0,22.827573066370352,1.0029084833483197,1.0177206380186627,38.764385,1.0418408,0.94803065,26.326918,0.9889536,0.9885696
0,19.31292731583487,1.0386110940833693,1.0260161750164822,36.014668,0.9625831,0.9556417,25.765974,1.0493977,1.0760417
0,24.40569338637628,0.8977373331430829,0.934973610970906,34.66098,1.0139078,0.98010755,24.570267,0.9533929,1.0013585
0,29.356774657315718,0.9837165609215094,1.0636823102482018,34.944717,1.0200695,1.0052125,27.177645,1.0817412,1.0351437
0,25.672556932854558,0.9038912283460492,1.0159691330763096,36.778297,0.8697751,0.87165624,25.146912,1.0318177,1.0086355
0,37.56767696291688,0.9259938329901994,0.7641625823297069,27.50676,0.93186843,0.9321003,32.2548,1.0841225,1.1393927
0,22.719491570991725,0.5103263034498147,0.49441473809425374,33.080105,0.50186074,0.7158833,25.41968,1.0473379,1.0966281
0,27.61375940457345,1.0572748659431008,1.0515735336441185,36.101265,1.0555282,1.0887396,27.374699,0.9496116,1.0404721
0,19.45928770957815,0.8787795574000234,0.8805778704901679,32.997204,0.95483,1.0604784,29.476265,0.9820122,0.94599754
