"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s314",0.840889643767159,7.91505755956001,0.405777568485374,0.00906945730680211,0.304046302542998,0.0175547773245613,0.93993993993994,128,128,128
"s315",0.840838438727197,7.91840576099203,0.405712755363989,0.00907107483986182,0.303981199888932,0.0175564845679914,0.942942942942943,128,128,128
"s316",0.840787285623331,7.92175164935502,0.405648209042496,0.00907268655865465,0.303916359560323,0.0175581859057201,0.945945945945946,128,128,128
"s317",0.840736184319802,7.92509522814539,0.40558392769866,0.00907429249605476,0.303851779751057,0.0175598813717386,0.948948948948949,128,128,128
"s318",0.840685134681236,7.92843650086254,0.405519909528088,0.00907589268467342,0.303787458672974,0.0175615709997477,0.951951951951952,128,128,128
"s319",0.840634136572638,7.93177547100852,0.405456152743995,0.00907748715686196,0.303723394555629,0.0175632548231612,0.954954954954955,128,128,128
"s320",0.840583189859404,7.93511214208788,0.405392655576984,0.00907907594471442,0.303659585646056,0.0175649328751092,0.957957957957958,128,128,128
"s321",0.840532294407313,7.93844651760733,0.40532941627482,0.00908065908007031,0.303596030208555,0.0175666051884414,0.960960960960961,128,128,128
"s322",0.840481450082533,7.94177860107557,0.405266433102219,0.00908223659451739,0.303532726524464,0.0175682717957304,0.963963963963964,128,128,128
"s323",0.840430656751621,7.94510839600301,0.405203704340627,0.00908380851939425,0.30346967289194,0.0175699327292752,0.966966966966967,128,128,128
"s324",0.840379914281522,7.94843590590154,0.405141228288014,0.00908537488579293,0.303406867625744,0.0175715880211036,0.96996996996997,128,128,128
"s325",0.840329222539571,7.95176113428433,0.405079003258662,0.00908693572456157,0.303344309057033,0.0175732377029762,0.972972972972973,128,128,128
"s326",0.840278581393495,7.95508408466559,0.405017027582965,0.00908849106630694,0.303281995533148,0.0175748818063889,0.975975975975976,128,128,128
"s327",0.840227990711411,7.95840476056035,0.404955299607222,0.00909004094139691,0.303219925417413,0.0175765203625762,0.978978978978979,128,128,128
"s328",0.840177450361829,7.96172316548427,0.404893817693445,0.00909158537996301,0.30315809708893,0.0175781534025139,0.981981981981982,128,128,128
"s329",0.840126960213652,7.96503930295342,0.404832580219158,0.00909312441190285,0.303096508942379,0.0175797809569226,0.984984984984985,128,128,128
"s330",0.840076520136176,7.96835317648408,0.404771585577213,0.00909465806688254,0.303035159387829,0.0175814030562697,0.987987987987988,128,128,128
"s331",0.840026129999089,7.97166478959254,0.404710832175588,0.00909618637433908,0.302974046850541,0.0175830197307732,0.990990990990991,128,128,128
"s332",0.839975789672475,7.97497414579492,0.404650318437213,0.00909770936348272,0.302913169770775,0.0175846310104037,0.993993993993994,128,128,128
"s333",0.839925499026811,7.97828124860697,0.404590042799781,0.00909922706329927,0.30285252660361,0.017586236924888,0.996996996996997,128,128,128
