"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s534",0.905439761909979,4.90515347498209,0.404866997106279,0.00909699755426411,0.305459533431045,0.0175933461870637,1.6006006006006,321,321,321
"s535",0.905415065712176,4.90682585123215,0.404806952528839,0.00909796174361954,0.305396667123448,0.0175944009567164,1.6036036036036,321,321,321
"s536",0.905390394350165,4.90849724771814,0.404747037633914,0.00909892372747599,0.305333944011308,0.0175954532691257,1.60660660660661,321,321,321
"s537",0.905365747746311,4.91016766764066,0.404687251930006,0.00909988351391195,0.305271363504509,0.0175965031339074,1.60960960960961,321,321,321
"s538",0.905341125823349,4.91183711418375,0.404627594928407,0.00910084111096403,0.305208925016551,0.0175975505606228,1.61261261261261,321,321,321
"s539",0.905316528504381,4.91350559051487,0.404568066143188,0.00910179652662719,0.305146627964507,0.0175985955587786,1.61561561561562,321,321,321
"s540",0.905291955712876,4.91517309978511,0.404508665091163,0.00910274976885506,0.305084471769014,0.0175996381378274,1.61861861861862,321,321,321
"s541",0.905267407372661,4.91683964512923,0.404449391291889,0.00910370084556023,0.30502245585423,0.0176006783071684,1.62162162162162,321,321,321
"s542",0.905242883407926,4.91850522966582,0.404390244267613,0.00910464976461445,0.304960579647812,0.0176017160761473,1.62462462462462,321,321,321
"s543",0.90521838374322,4.92016985649734,0.404331223543279,0.00910559653384901,0.304898842580888,0.0176027514540573,1.62762762762763,321,321,321
"s544",0.905193908303444,4.92183352871027,0.404272328646507,0.009106541161055,0.304837244088022,0.0176037844501388,1.63063063063063,321,321,321
"s545",0.905169457013857,4.92349624937522,0.404213559107552,0.00910748365398352,0.3047757836072,0.0176048150735805,1.63363363363363,321,321,321
"s546",0.905145029800067,4.92515802154698,0.404154914459303,0.00910842402034596,0.304714460579787,0.0176058433335193,1.63663663663664,321,321,321
"s547",0.905120626588031,4.92681884826466,0.404096394237261,0.00910936226781436,0.30465327445051,0.0176068692390409,1.63963963963964,321,321,321
"s548",0.905096247304055,4.92847873255181,0.404037997979504,0.00911029840402158,0.304592224667435,0.0176078927991803,1.64264264264264,321,321,321
"s549",0.905071891874789,4.93013767741645,0.403979725226688,0.00911123243656158,0.30453131068193,0.0176089140229216,1.64564564564565,321,321,321
"s550",0.905047560227226,4.93179568585124,0.403921575522016,0.00911216437298972,0.304470531948648,0.0176099329191993,1.64864864864865,321,321,321
"s551",0.905023252288701,4.93345276083355,0.403863548411219,0.00911309422082298,0.304409887925486,0.0176109494968979,1.65165165165165,321,321,321
"s552",0.904998967986886,4.93510890532552,0.40380564344255,0.00911402198754029,0.304349378073586,0.0176119637648524,1.65465465465465,321,321,321
"s553",0.904974707249791,4.93676412227422,0.403747860166744,0.00911494768058264,0.304289001857281,0.0176129757318492,1.65765765765766,321,321,321
"s554",0.904950470005761,4.93841841461173,0.403690198137012,0.0091158713073535,0.304228758744088,0.0176139854066258,1.66066066066066,321,321,321
"s555",0.904926256183474,4.94007178525519,0.403632656909025,0.00911679287521894,0.304168648204679,0.0176149927978715,1.66366366366366,321,321,321
"s556",0.904902065711937,4.94172423710694,0.403575236040897,0.00911771239150796,0.304108669712853,0.0176159979142276,1.66666666666667,321,321,321
"s557",0.904877898520488,4.94337577305461,0.403517935093145,0.00911862986351271,0.304048822745513,0.017617000764288,1.66966966966967,321,321,321
"s558",0.90485375453879,4.94502639597117,0.403460753628707,0.00911954529848873,0.303989106782644,0.0176180013565993,1.67267267267267,321,321,321
"s559",0.904829633696832,4.94667610871511,0.403403691212892,0.00912045870365517,0.303929521307286,0.0176189996996612,1.67567567567568,321,321,321
"s560",0.904805535924925,4.94832491413041,0.403346747413389,0.00912137008619512,0.303870065805516,0.017619995801927,1.67867867867868,321,321,321
"s561",0.904781461153703,4.94997281504674,0.403289921800225,0.0091222794532557,0.303810739766418,0.0176209896718037,1.68168168168168,321,321,321
"s562",0.904757409314115,4.9516198142795,0.403233213945764,0.00912318681194844,0.303751542682054,0.0176219813176525,1.68468468468468,321,321,321
"s563",0.904733380337433,4.9532659146299,0.403176623424686,0.00912409216934944,0.303692474047464,0.0176229707477891,1.68768768768769,321,321,321
"s564",0.904709374155238,4.95491111888508,0.403120149813967,0.00912499553249962,0.303633533360618,0.017623957970484,1.69069069069069,321,321,321
"s565",0.904685390699428,4.95655542981818,0.403063792692872,0.00912589690840496,0.303574720122406,0.0176249429939628,1.69369369369369,321,321,321
"s566",0.904661429902212,4.95819885018843,0.403007551642922,0.00912679630403667,0.303516033836614,0.0176259258264068,1.6966966966967,321,321,321
"s567",0.904637491696109,4.95984138274124,0.402951426247891,0.00912769372633154,0.303457474009896,0.0176269064759527,1.6996996996997,321,321,321
"s568",0.904613576013943,4.96148303020828,0.402895416093787,0.00912858918219201,0.303399040151768,0.0176278849506938,1.7027027027027,321,321,321
"s569",0.904589682788848,4.96312379530757,0.402839520768835,0.00912948267848653,0.303340731774565,0.0176288612586793,1.70570570570571,321,321,321
"s570",0.904565811954258,4.96476368074356,0.402783739863453,0.0091303742220497,0.303282548393431,0.0176298354079157,1.70870870870871,321,321,321
"s571",0.904541963443913,4.96640268920723,0.402728072970257,0.00913126381968253,0.3032244895263,0.017630807406366,1.71171171171171,321,321,321
"s572",0.904518137191851,4.96804082337617,0.402672519684017,0.00913215147815261,0.303166554693872,0.0176317772619511,1.71471471471471,321,321,321
"s573",0.90449433313241,4.96967808591463,0.402617079601669,0.00913303720419439,0.303108743419585,0.017632744982549,1.71771771771772,321,321,321
"s574",0.904470551200225,4.97131447947365,0.402561752322278,0.00913392100450934,0.303051055229603,0.0176337105759962,1.72072072072072,321,321,321
"s575",0.904446791330225,4.97295000669111,0.402506537447038,0.00913480288576619,0.302993489652798,0.0176346740500871,1.72372372372372,321,321,321
