,cid
907,5916154
908,7187
909,21159448
910,61401
911,61386
912,19801
913,43046
914,162481
915,107065
916,13353282
917,6504440
918,11435769
919,442393
920,6435839
921,212930
922,234237
923,6988
924,21648
925,68316
926,62329
927,97897
928,546235
929,91338
930,16741
931,642231
932,444683
933,106756
934,94111
935,8172
936,7341
937,6448
938,24915
939,136145
940,5364586
941,110975
942,88168807
943,91508
944,442478
945,8144
946,106684
947,89464
948,17167
949,61665
950,5281188
951,16582
952,22311
953,11039
954,71587848
955,81898
956,5368821
957,30664
958,61415
959,12020
960,62013
961,31236
962,102835
963,1287
964,28500
965,11508
966,69350
967,11507
968,88792
969,74879
970,443131
971,6438067
972,10104370
973,94164
974,5366074
975,166302
976,6440731
977,108630
978,10657
979,518791
980,62653
981,13084
982,637516
983,90787
984,612
985,6437572
986,6450538
987,155007
988,638500
989,5463909
990,5318018
991,3611
992,15273629
993,32033
994,85519
995,641298
996,5362564
997,34591
998,6437911
999,19792960
1000,263620
1001,166257
1002,109420
1003,5281420
1004,83553
1005,642771
1006,7785
1007,16590
1008,84825
1009,16591
1010,12304196
1011,15654
1012,520098
1013,49869550
1014,8438
1015,6427130
1016,5369997
1017,5283366
1018,7137
1019,6429101
1020,6431144
1021,14511
1022,160707
1023,5283356
1024,21251947
1025,3024273
1026,556998
1027,105653
1028,8102
1029,61331
1030,155626
1031,23279512
1032,5352845
1033,31272
1034,99611
1035,7660
1036,155361
1037,1551246
1038,6429282
1039,62148
1040,5365982
1041,72941560
1042,5372174
1043,6213
1044,8461
1045,21773712
1046,179
1047,5364578
1048,641294
1049,5367679
1050,6386037
1051,5320250
1052,8364
1053,2776492
1054,13642
1055,8180
1056,5353001
1057,638072
1058,5281525
1059,95395
1060,5463682
1061,79036
1062,1110
1063,7557
1064,243783
1065,98118
1066,5283348
1067,1711945
1068,5363526
1069,5541
1070,64813
1071,61976
1072,15475
1073,7144
1074,61524
1075,162184
1076,94453
1077,111352
1078,109244
1079,7967
1080,205986
1081,121677
1082,88655
1083,78476
1084,86209
1085,6708682
1086,6431148
1087,169211
1088,101330
1089,7237
1090,61261
1091,1549521
1092,15600
1093,24118
1094,638098
1095,10558
1096,16296
1097,7342
1098,6425
1099,12769
1100,182502
1101,14328
1102,18522
1103,549519
1104,11160
1105,67148
1106,57358374
1107,10856172
1108,61408
1109,53423848
1110,3023
1111,5364752
1112,95978
1113,7720
1114,5365811
1115,7559
1116,457869
1117,8129
1118,100927
1119,111516
1120,17617
1121,106775
1122,10336
1123,28818
1124,96021
1125,86753
1126,21940939
1127,442501
1128,36503
1129,8078
1130,97883
1131,999
1132,18955245
1133,103654
1134,3033452
1135,62842
1136,61341
1137,61197
1138,13294594
1139,97799
1140,245572
1141,175948
1142,5566
1143,526618
1144,8369
1145,20836301
1146,32857
1147,78639
1148,78612
1149,71587306
1150,6441593
1151,525358
1152,102550
1153,61296
1154,254555
1155,88710
1156,6862
1157,6430107
1158,8299
1159,8763
1160,5284656
1161,8934559
1162,8030
1163,78879
1164,11902
1165,31227
1166,3084331
1167,229387
1168,10698
1169,62908
1170,80455
1171,108242
1172,20519097
1173,526993
1174,61412
1175,161676
1176,519539
1177,522071
1178,4837
1179,6365995
1180,5280598
1181,15775373
1182,101306697
1183,62385
1184,57320331
1185,8136
1186,5317247
1187,36225
1188,95289
1189,7731
1190,332
1191,11126290
1192,61091
1193,5379425
1194,577126
1195,6997333
1196,108515
1197,41569
1198,8697
1199,61031
1200,220674
1201,16220080
1202,5363202
1203,5365818
1204,13006
1205,8185
1206,8141
1207,108425
1208,16833
1209,5369325
1210,249494
1211,519793
1212,3083805
1213,4925262
1214,8314
1215,8909
1216,329983
1217,5362588
1218,11419
1219,95086
1220,7847
1221,61128
1222,88288
1223,3016499
1224,30915
1225,8159
1226,81414
