"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda"
"s252",0.670557745627587,15.0694733578454,0.33605048424776,0.00920003554729124,0.250465433468913,0.0177545283703427,0.753753753753754
"s253",0.670357977958595,15.0785264713145,0.335967124031074,0.00920135479792588,0.250406649168376,0.017755821770178,0.756756756756757
"s254",0.670221653141977,15.0848884907173,0.335884058296113,0.00920266927603799,0.250348040215852,0.0177571109651187,0.75975975975976
"s255",0.670022475477897,15.0938987560747,0.335801285407729,0.00920397900945265,0.25028960567393,0.0177583959770645,0.762762762762763
"s256",0.66988649835221,15.1002333490513,0.335718803744166,0.00920528402576904,0.250231344614212,0.0177596768277541,0.765765765765766
"s257",0.669687925936837,15.1092002757749,0.335636611696894,0.00920658435236281,0.250173256117167,0.0177609535387676,0.768768768768769
"s258",0.669552308039777,15.115507062496,0.33555470767045,0.00920788001638843,0.250115339271996,0.0177622261315276,0.771771771771772
"s259",0.669354359549957,15.1244300491812,0.335473090082287,0.0092091710447814,0.2500575931765,0.0177634946273007,0.774774774774775
"s260",0.669219114551907,15.1307085870109,0.335391757362613,0.00921045746426059,0.25000001693694,0.0177647590471996,0.777777777777778
"s261",0.669021811514469,15.1395869562137,0.335310707954253,0.00921173930133046,0.249942609667924,0.0177660194121839,0.780780780780781
"s262",0.668886954575553,15.1458367675666,0.335229940312489,0.00921301658228322,0.249885370492265,0.0177672757430621,0.783783783783784
"s263",0.668690319688945,15.1546698257841,0.33514945290492,0.0092142893332011,0.249828298540867,0.0177685280604929,0.786786786786787
"s264",0.668555865609294,15.1608904606395,0.335069244211325,0.00921555757995837,0.249771392952603,0.0177697763849866,0.78978978978979
"s265",0.668359918298071,15.1696776509703,0.33498931272351,0.00921682134822358,0.249714652874193,0.0177710207369068,0.792792792792793
"s266",0.668225877041422,15.1758688469388,0.334909656945179,0.00921808066346163,0.249658077460096,0.0177722611364714,0.795795795795796
"s267",0.668030623592328,15.1846101163392,0.334830275391799,0.00921933555093578,0.249601665872384,0.0177734976037543,0.798798798798799
"s268",0.667896990994186,15.19077215473,0.33475116659046,0.00922058603570977,0.249545417280643,0.0177747301586867,0.801801801801802
"s269",0.66770240541166,15.1994686990287,0.334672329079746,0.00922183214264978,0.249489330861856,0.0177759588210586,0.804804804804805
"s270",0.667569146735257,15.2056030580273,0.334593761409608,0.00922307389642649,0.249433405800301,0.0177771836105198,0.807807807807808
"s271",0.667375142772657,15.2142585182612,0.334515462141235,0.00922431132151698,0.249377641287441,0.0177784045465815,0.810810810810811
"s272",0.66724217539563,15.2203687826467,0.334437429846928,0.00922554444220674,0.249322036521825,0.0177796216486176,0.813813813813814
"s273",0.667048581256542,15.2289909987321,0.334359663109975,0.00922677328259153,0.249266590708989,0.0177808349358658,0.816816816816817
"s274",0.666915720195897,15.2350854955708,0.334282160524535,0.00922799786657931,0.24921130306135,0.0177820444274293,0.81981981981982
"s275",0.66672178699183,15.2437040468195,0.334204920695513,0.00922921821789215,0.249156172798116,0.0177832501422775,0.822822822822823
"s276",0.666587441854839,15.2498424355669,0.334127942238447,0.00923043436006802,0.249101199145188,0.0177844520992476,0.825825825825826
"s277",0.666385238043954,15.2587715701574,0.334051223779389,0.00923164631646262,0.249046381335069,0.0177856503170457,0.828828828828829
"s278",0.666236191084737,15.265532152223,0.333974763954789,0.00923285411025125,0.248991718606767,0.0177868448142481,0.831831831831832
"s279",0.666102439778793,15.2716297048902,0.333898561411391,0.00923405776443055,0.248937210205716,0.0177880356093025,0.834834834834835
"s280",0.665901185147502,15.2804965873662,0.33382261480611,0.00923525730182025,0.248882855383674,0.017789222720529,0.837837837837838
"s281",0.66575259839452,15.2872198016389,0.333746922805936,0.00923645274506496,0.24882865339865,0.0177904061661216,0.840840840840841
"s282",0.665619252114724,15.2932848608323,0.333671484087817,0.00923764411663584,0.248774603514811,0.017791585964149,0.843843843843844
"s283",0.665418586025913,15.3021047162463,0.333596297338555,0.00923883143883237,0.248720705002402,0.0177927621325558,0.846846846846847
"s284",0.665270156765754,15.3088029943139,0.333521361254716,0.00924001473378391,0.248666957137664,0.0177939346891641,0.84984984984985
"s285",0.665136851069483,15.3148504521884,0.333446674542496,0.00924119402345152,0.248613359202753,0.0177951036516737,0.852852852852853
"s286",0.664936089537687,15.323651948654,0.333372235917656,0.00924236932962946,0.248559910485668,0.0177962690376643,0.855855855855856
"s287",0.664787193325606,15.3303520109803,0.333298044105397,0.00924354067394689,0.248506610280159,0.0177974308645956,0.858858858858859
"s288",0.664652862279113,15.336425535576,0.333224097840277,0.00924470807786946,0.248453457885668,0.0177985891498088,0.861861861861862
"s289",0.664447120340643,15.3453953372926,0.333150395866101,0.00924587156270085,0.24840045260725,0.017799743910528,0.864864864864865
"s290",0.664287547292421,15.3524914584769,0.333076936935837,0.0092470311495844,0.248347593755489,0.0178008951638605,0.867867867867868
"s291",0.664128191337383,15.3595722183127,0.333003719811518,0.00924818685950462,0.24829488064644,0.0178020429267985,0.870870870870871
"s292",0.663969052114662,15.3666376677491,0.332930743264147,0.00924933871328871,0.248242312601558,0.0178031872162196,0.873873873873874
"s293",0.66381012926374,15.3736878575442,0.332858006073607,0.00925048673160809,0.248189888947619,0.0178043280488883,0.876876876876877
"s294",0.663651422424451,15.3807228382658,0.332785507028579,0.00925163093497986,0.24813760901666,0.0178054654414566,0.87987987987988
"s295",0.663492931236991,15.3877426602908,0.332713244926441,0.00925277134376833,0.248085472145913,0.0178065994104653,0.882882882882883
"s296",0.663334655341919,15.3947473738065,0.332641218573187,0.00925390797818643,0.248033477677733,0.0178077299723447,0.885885885885886
"s297",0.663176594380167,15.40173702881,0.332569426783341,0.00925504085829716,0.247981624959544,0.0178088571434157,0.888888888888889
"s298",0.663018747993044,15.4087116751089,0.332497868379868,0.00925617000401504,0.247929913343765,0.0178099809398907,0.891891891891892
"s299",0.662861115822243,15.4156713623214,0.332426542194096,0.00925729543510747,0.247878342187754,0.0178111013778747,0.894894894894895
"s300",0.662703697509842,15.4226161398768,0.332355447065627,0.00925841717119618,0.247826910853749,0.0178122184733661,0.897897897897898
"s301",0.662546492698318,15.4295460570157,0.332284581842265,0.00925953523175855,0.247775618708805,0.0178133322422575,0.900900900900901
"s302",0.66238950103054,15.4364611627903,0.332213945379924,0.00926064963612899,0.247724465124729,0.0178144427003369,0.903903903903904
"s303",0.662232722149785,15.4433615060649,0.332143536542556,0.00926176040350031,0.247673449478039,0.0178155498632884,0.906906906906907
"s304",0.662076155699736,15.4502471355159,0.332073354202068,0.00926286755292501,0.24762257114989,0.017816653746693,0.90990990990991
"s305",0.661919801324488,15.4571180996328,0.332003397238254,0.0092639711033166,0.247571829526028,0.01781775436603,0.912912912912913
"s306",0.661763658668554,15.4639744467179,0.331933664538707,0.00926507107345092,0.247521223996731,0.017818851736677,0.915915915915916
"s307",0.661607727376866,15.4708162248872,0.331864154998749,0.00926616748196741,0.247470753956758,0.0178199458739116,0.918918918918919
"s308",0.661452007094783,15.4776434820706,0.331794867521362,0.00926726034737039,0.247420418805293,0.0178210367929118,0.921921921921922
"s309",0.661296497468092,15.4844562660123,0.331725801017105,0.00926834968803025,0.247370217945896,0.0178221245087568,0.924924924924925
"s310",0.661141198143013,15.4912546242712,0.33165695440405,0.00926943552218483,0.247320150786449,0.0178232090364284,0.927927927927928
"s311",0.660986108766201,15.4980386042215,0.331588326607707,0.00927051786794048,0.247270216739106,0.0178242903908108,0.930930930930931
"s312",0.660831228984752,15.5048082530532,0.331519916560949,0.00927159674327341,0.247220415220248,0.0178253685866926,0.933933933933934
"s313",0.660676558446204,15.5115636177721,0.331451723203959,0.00927267216603079,0.247170745650423,0.0178264436387666,0.936936936936937
"s314",0.660522096798545,15.5183047452009,0.331383745484136,0.00927374415393202,0.247121207454311,0.0178275155616313,0.93993993993994
"s315",0.660367843690208,15.5250316819792,0.331315982356056,0.0092748127245698,0.247071800060673,0.0178285843697913,0.942942942942943
"s316",0.660213798770081,15.5317444745641,0.33124843278138,0.00927587789541142,0.247022522902298,0.0178296500776582,0.945945945945946
"s317",0.660059961687507,15.5384431692308,0.331181095728799,0.0092769396837998,0.246973375415964,0.0178307126995512,0.948948948948949
"s318",0.659906332092289,15.5451278120732,0.331113970173976,0.00927799810695463,0.246924357042393,0.0178317722496985,0.951951951951952
"s319",0.659752909634689,15.5517984490039,0.331047055099473,0.00927905318197359,0.246875467226205,0.017832828742237,0.954954954954955
"s320",0.659599693965433,15.5584551257554,0.330980349494682,0.00928010492583332,0.246826705415872,0.0178338821912141,0.957957957957958
"s321",0.659446684735715,15.5650978878801,0.330913852355776,0.00928115335539062,0.246778071063682,0.0178349326105877,0.960960960960961
"s322",0.659293881597197,15.571726780751,0.330847562685638,0.00928219848738352,0.246729563625689,0.0178359800142274,0.963963963963964
"s323",0.65914128420201,15.5783418495624,0.330781479493804,0.00928324033843226,0.246681182561682,0.0178370244159149,0.966966966966967
"s324",0.658988892202762,15.5849431393301,0.3307156017964,0.0092842789250405,0.246632927335127,0.0178380658293448,0.96996996996997
"s325",0.658836705252533,15.5915306948921,0.33064992861608,0.00928531426359625,0.246584797413152,0.0178391042681256,0.972972972972973
